127.0.0.1 - - [31/May/2021:11:05:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/May/2021:11:05:06 +0530] "GET /FlightSearchWebSpring/ HTTP/1.1" 200 4015
0:0:0:0:0:0:0:1 - - [31/May/2021:11:05:06 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:11:05:19 +0530] "POST /FlightSearchWebSpring/login HTTP/1.1" 200 4172
0:0:0:0:0:0:0:1 - - [31/May/2021:11:05:19 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:11:08:04 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:11:08:12 +0530] "GET /FlightSearchWebSpring/ HTTP/1.1" 200 4015
0:0:0:0:0:0:0:1 - - [31/May/2021:11:08:12 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:11:08:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [31/May/2021:11:08:21 +0530] "POST /FlightSearchWebSpring/login HTTP/1.1" 200 4172
0:0:0:0:0:0:0:1 - - [31/May/2021:11:08:21 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:11:08:55 +0530] "POST /FlightSearchWebSpring/flightsearch HTTP/1.1" 200 4693
0:0:0:0:0:0:0:1 - - [31/May/2021:11:08:55 +0530] "GET /FlightSearchWebSpring/css/bootstrap.min.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/May/2021:11:09:30 +0530] "POST /FlightSearchWebSpring/login HTTP/1.1" 200 4172
